========================================================================
  Summary Table: para1_n2_tsep6_15
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.458(13) |   3.7    |
| 1  | 0.442(13) |   3.6    |
| 2  | 0.398(11) |   3.3    |
| 3  |  0.336(9) |   2.8    |
| 4  |  0.269(8) |   2.1    |
| 5  |  0.206(7) |   1.7    |
| 6  |  0.153(6) |   1.4    |
| 7  |  0.111(5) |   1.3    |
| 8  |  0.079(5) |   1.4    |
| 9  |  0.056(5) |   1.6    |
| 10 |  0.039(5) |   1.9    |
| 11 |  0.027(5) |    2     |
| 12 |  0.019(4) |    2     |
| 13 |  0.012(4) |    2     |
| 14 |  0.007(4) |   1.9    |
| 15 |  0.003(4) |   1.8    |
| 16 |  0.001(4) |   1.7    |
| 17 | -0.000(4) |   1.7    |
| 18 | -0.001(4) |   1.9    |
| 19 | -0.001(4) |   2.1    |
| 20 | -0.001(3) |   2.2    |
| 21 | -0.001(3) |    2     |
| 22 | -0.001(3) |   1.8    |
| 23 | -0.001(3) |   1.7    |
+----+-----------+----------+
