========================================================================
  Summary Table: para1_n2_tsep7_15
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.503(17) |   1.7    |
| 1  | 0.484(16) |   1.7    |
| 2  | 0.431(14) |   1.7    |
| 3  | 0.359(12) |   1.7    |
| 4  | 0.283(10) |   1.6    |
| 5  |  0.214(9) |   1.5    |
| 6  |  0.158(8) |   1.4    |
| 7  |  0.114(7) |   1.3    |
| 8  |  0.081(7) |   1.4    |
| 9  |  0.058(7) |   1.7    |
| 10 |  0.041(7) |   1.9    |
| 11 |  0.030(7) |   2.1    |
| 12 |  0.023(6) |    2     |
| 13 |  0.017(6) |   1.9    |
| 14 |  0.012(6) |   1.8    |
| 15 |  0.009(5) |   1.6    |
| 16 |  0.006(5) |   1.5    |
| 17 |  0.004(5) |   1.6    |
| 18 |  0.003(5) |   1.8    |
| 19 |  0.002(5) |   2.1    |
| 20 |  0.002(4) |   2.2    |
| 21 |  0.001(5) |   2.1    |
| 22 | -0.000(5) |   1.9    |
| 23 | -0.002(5) |   1.7    |
+----+-----------+----------+
