========================================================================
  Summary Table: para1_n2_tsep8_15
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.487(23) |   1.7    |
| 1  | 0.469(21) |   1.7    |
| 2  | 0.418(18) |   1.7    |
| 3  | 0.349(15) |   1.7    |
| 4  | 0.276(13) |   1.6    |
| 5  | 0.209(11) |   1.5    |
| 6  | 0.155(10) |   1.4    |
| 7  | 0.114(10) |   1.4    |
| 8  |  0.083(9) |   1.5    |
| 9  |  0.062(9) |   1.7    |
| 10 |  0.046(9) |    2     |
| 11 |  0.035(8) |   2.1    |
| 12 |  0.027(8) |   2.1    |
| 13 |  0.020(7) |    2     |
| 14 |  0.016(7) |   1.8    |
| 15 |  0.012(7) |   1.6    |
| 16 |  0.009(7) |   1.5    |
| 17 |  0.007(6) |   1.6    |
| 18 |  0.007(6) |   1.8    |
| 19 |  0.006(6) |   2.1    |
| 20 |  0.006(6) |   2.2    |
| 21 |  0.005(6) |   2.1    |
| 22 |  0.004(6) |   1.8    |
| 23 |  0.002(6) |   1.7    |
+----+-----------+----------+
