========================================================================
  Summary Table: para1_n2_tsep9_11
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.545(39)  |    1     |
| 1  | 0.521(37)  |    1     |
| 2  | 0.458(33)  |    1     |
| 3  | 0.374(28)  |    1     |
| 4  | 0.288(25)  |    1     |
| 5  | 0.211(22)  |    1     |
| 6  | 0.149(21)  |    1     |
| 7  | 0.102(20)  |    1     |
| 8  | 0.066(19)  |   1.1    |
| 9  | 0.041(18)  |   1.3    |
| 10 | 0.025(17)  |   1.6    |
| 11 | 0.015(16)  |   1.9    |
| 12 | 0.009(15)  |   2.1    |
| 13 | 0.007(15)  |    2     |
| 14 | 0.007(14)  |   1.6    |
| 15 | 0.007(14)  |   1.2    |
| 16 | 0.006(13)  |    1     |
| 17 | 0.006(13)  |   1.1    |
| 18 | 0.004(13)  |   1.4    |
| 19 | 0.001(12)  |   1.7    |
| 20 | -0.004(12) |   1.9    |
| 21 | -0.009(12) |   1.8    |
| 22 | -0.013(12) |   1.5    |
| 23 | -0.016(12) |   1.3    |
+----+------------+----------+
