========================================================================
  Summary Table: para1_n2_tsep6_10
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.544(12) |   9.3    |
| 1  | 0.516(11) |   8.5    |
| 2  | 0.444(10) |   6.4    |
| 3  |  0.349(8) |   3.8    |
| 4  |  0.254(7) |   1.9    |
| 5  |  0.174(6) |   1.4    |
| 6  |  0.114(6) |   1.7    |
| 7  |  0.071(5) |    2     |
| 8  |  0.042(5) |   2.1    |
| 9  |  0.024(5) |    2     |
| 10 |  0.013(5) |   1.7    |
| 11 |  0.007(4) |   1.6    |
| 12 |  0.004(4) |   1.4    |
| 13 |  0.002(4) |   1.4    |
| 14 |  0.001(4) |   1.4    |
| 15 |  0.000(4) |   1.6    |
| 16 | -0.000(4) |   1.7    |
| 17 | -0.000(4) |   1.9    |
| 18 | -0.000(3) |    2     |
| 19 |  0.000(3) |   2.1    |
| 20 |  0.000(3) |   2.3    |
| 21 |  0.000(3) |   2.4    |
| 22 | -0.000(3) |   2.3    |
| 23 | -0.000(3) |   2.1    |
+----+-----------+----------+
