========================================================================
  Summary Table: para1_n2_tsep7_10
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.588(18) |   2.5    |
| 1  | 0.559(17) |   2.3    |
| 2  | 0.484(15) |   1.9    |
| 3  | 0.385(13) |   1.3    |
| 4  | 0.285(11) |   1.1    |
| 5  | 0.200(10) |   1.5    |
| 6  |  0.134(9) |   2.2    |
| 7  |  0.086(8) |   2.9    |
| 8  |  0.053(8) |   3.2    |
| 9  |  0.032(7) |   3.4    |
| 10 |  0.018(7) |   3.6    |
| 11 |  0.010(7) |   3.7    |
| 12 |  0.005(6) |   3.7    |
| 13 |  0.002(6) |   3.4    |
| 14 |  0.001(6) |   2.9    |
| 15 |  0.000(6) |   2.4    |
| 16 | -0.000(5) |    2     |
| 17 | -0.000(5) |   1.6    |
| 18 |  0.000(5) |   1.4    |
| 19 |  0.000(5) |   1.3    |
| 20 |  0.001(5) |   1.3    |
| 21 |  0.002(5) |   1.4    |
| 22 |  0.002(5) |   1.6    |
| 23 |  0.002(5) |   1.8    |
+----+-----------+----------+
