========================================================================
  Summary Table: para1_n2_tsep6_11
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.489(14) |   4.3    |
| 1  | 0.469(13) |    4     |
| 2  | 0.416(12) |   3.2    |
| 3  | 0.344(10) |   2.3    |
| 4  |  0.268(9) |   1.5    |
| 5  |  0.199(8) |   1.2    |
| 6  |  0.143(7) |   1.2    |
| 7  |  0.099(6) |   1.2    |
| 8  |  0.068(6) |   1.3    |
| 9  |  0.046(6) |   1.5    |
| 10 |  0.031(5) |   1.8    |
| 11 |  0.022(5) |   2.1    |
| 12 |  0.016(5) |   2.4    |
| 13 |  0.012(5) |   2.4    |
| 14 |  0.008(5) |   2.2    |
| 15 |  0.004(5) |   1.9    |
| 16 |  0.002(4) |   1.6    |
| 17 |  0.000(4) |   1.6    |
| 18 | -0.000(4) |   1.5    |
| 19 | -0.001(4) |   1.4    |
| 20 | -0.002(4) |   1.4    |
| 21 | -0.003(4) |   1.4    |
| 22 | -0.003(4) |   1.5    |
| 23 | -0.004(4) |   1.5    |
+----+-----------+----------+
