========================================================================
  Summary Table: para3_n1_tsep4_7
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+-------------+------------+----------+
| z  |     c0     |      c1     |     dE     | chi2/dof |
+----+------------+-------------+------------+----------+
| 0  | 0.722(123) | -1.057(133) | 0.627(90)  |   4.2    |
| 1  | 0.675(125) | -1.034(134) | 0.645(97)  |   4.2    |
| 2  | 0.553(131) | -0.985(129) | 0.705(117) |   4.4    |
| 3  | 0.389(115) | -0.954(102) | 0.822(115) |   4.5    |
| 4  | 0.248(79)  |  -0.924(75) | 0.965(107) |   4.3    |
| 5  | 0.162(52)  |  -0.885(65) | 1.094(107) |   3.7    |
| 6  | 0.124(45)  |  -0.855(62) | 1.175(108) |   3.5    |
| 7  | 0.113(44)  |  -0.840(64) | 1.214(104) |   3.6    |
| 8  | 0.115(46)  |  -0.832(66) | 1.236(102) |   3.9    |
| 9  | 0.118(48)  |  -0.822(67) | 1.259(103) |   4.2    |
| 10 | 0.116(52)  |  -0.801(76) | 1.292(111) |   4.3    |
| 11 | 0.108(55)  | -0.764(101) | 1.335(129) |   4.1    |
| 12 | 0.096(67)  | -0.710(157) | 1.362(178) |   3.5    |
| 13 | 0.082(94)  | -0.634(233) | 1.337(263) |   3.1    |
| 14 | 0.075(139) | -0.547(297) | 1.258(343) |   3.1    |
| 15 | 0.062(152) | -0.463(336) | 1.170(381) |   3.7    |
| 16 | 0.050(164) | -0.408(348) | 1.117(399) |   4.5    |
| 17 | 0.033(149) | -0.391(349) | 1.115(404) |    5     |
| 18 | 0.021(130) | -0.390(347) | 1.126(406) |   4.8    |
| 19 | 0.012(109) | -0.375(346) | 1.127(411) |   4.1    |
| 20 | 0.004(93)  | -0.337(345) | 1.111(424) |   3.4    |
| 21 | -0.002(67) | -0.310(341) | 1.105(438) |    3     |
| 22 | -0.002(58) | -0.339(339) | 1.157(444) |   3.3    |
| 23 | 0.005(53)  | -0.389(335) | 1.223(431) |   3.7    |
+----+------------+-------------+------------+----------+
