========================================================================
  Summary Table: para1_n2_tsep7_9
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.626(27)  |   1.5    |
| 1  | 0.588(26)  |   1.6    |
| 2  | 0.489(24)  |   1.6    |
| 3  | 0.362(21)  |   1.5    |
| 4  | 0.240(18)  |   1.4    |
| 5  | 0.144(17)  |   1.3    |
| 6  | 0.079(16)  |   1.3    |
| 7  | 0.039(15)  |   1.4    |
| 8  | 0.017(15)  |   1.6    |
| 9  | 0.006(14)  |   1.9    |
| 10 | 0.003(14)  |   2.2    |
| 11 | 0.006(13)  |   2.5    |
| 12 | 0.012(12)  |   2.7    |
| 13 | 0.018(12)  |   2.5    |
| 14 | 0.021(11)  |    2     |
| 15 | 0.022(11)  |   1.5    |
| 16 | 0.020(10)  |   1.3    |
| 17 | 0.016(10)  |   1.3    |
| 18 | 0.011(10)  |   1.5    |
| 19 |  0.006(9)  |   1.6    |
| 20 |  0.002(9)  |   1.7    |
| 21 | -0.003(9)  |   1.7    |
| 22 | -0.008(9)  |   1.9    |
| 23 | -0.013(10) |    2     |
+----+------------+----------+
