========================================================================
  Summary Table: para1_n2_tsep8_10
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.626(29)  |   1.9    |
| 1  | 0.594(28)  |   1.9    |
| 2  | 0.507(25)  |   1.6    |
| 3  | 0.394(21)  |   1.3    |
| 4  | 0.281(18)  |   1.1    |
| 5  | 0.185(16)  |    1     |
| 6  | 0.112(15)  |    1     |
| 7  | 0.060(14)  |    1     |
| 8  | 0.025(14)  |    1     |
| 9  | 0.003(13)  |   1.2    |
| 10 | -0.009(13) |   1.5    |
| 11 | -0.015(12) |   2.2    |
| 12 | -0.015(12) |   2.9    |
| 13 | -0.013(11) |   3.2    |
| 14 | -0.010(11) |   3.1    |
| 15 | -0.008(10) |   2.6    |
| 16 | -0.007(10) |   2.1    |
| 17 | -0.006(10) |   1.6    |
| 18 | -0.006(9)  |   1.3    |
| 19 | -0.006(9)  |   1.1    |
| 20 | -0.005(9)  |   1.2    |
| 21 | -0.003(9)  |   1.5    |
| 22 |  0.000(9)  |   1.8    |
| 23 |  0.003(9)  |   2.2    |
+----+------------+----------+
