========================================================================
  Summary Table: para1_n2_tsep8_9
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.649(82)  |    2     |
| 1  | 0.607(79)  |    2     |
| 2  | 0.502(71)  |   2.1    |
| 3  | 0.365(62)  |   2.1    |
| 4  | 0.232(55)  |   1.8    |
| 5  | 0.124(50)  |   1.4    |
| 6  | 0.049(47)  |   1.1    |
| 7  | 0.004(45)  |    1     |
| 8  | -0.020(44) |   1.3    |
| 9  | -0.031(42) |   1.7    |
| 10 | -0.037(40) |   2.1    |
| 11 | -0.040(39) |   2.2    |
| 12 | -0.038(37) |    2     |
| 13 | -0.031(35) |   1.6    |
| 14 | -0.019(33) |   1.2    |
| 15 | -0.006(31) |    1     |
| 16 | 0.005(30)  |   1.2    |
| 17 | 0.011(30)  |   1.6    |
| 18 | 0.013(30)  |    2     |
| 19 | 0.010(29)  |   2.2    |
| 20 | 0.004(28)  |   2.4    |
| 21 | -0.000(28) |   2.5    |
| 22 | -0.003(28) |   2.7    |
| 23 | -0.004(28) |    3     |
+----+------------+----------+
