========================================================================
  Summary Table: para1_n2_tsep9_15
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.479(30) |   1.8    |
| 1  | 0.460(28) |   1.7    |
| 2  | 0.409(24) |   1.7    |
| 3  | 0.340(20) |   1.7    |
| 4  | 0.268(17) |   1.6    |
| 5  | 0.204(15) |   1.6    |
| 6  | 0.153(14) |   1.5    |
| 7  | 0.115(13) |   1.4    |
| 8  | 0.086(12) |   1.5    |
| 9  | 0.064(11) |   1.8    |
| 10 | 0.047(11) |   2.1    |
| 11 | 0.034(10) |   2.3    |
| 12 | 0.024(10) |   2.2    |
| 13 |  0.016(9) |    2     |
| 14 |  0.010(9) |   1.7    |
| 15 |  0.006(9) |   1.5    |
| 16 |  0.003(8) |   1.3    |
| 17 |  0.001(8) |   1.4    |
| 18 |  0.000(8) |   1.6    |
| 19 | -0.000(7) |   1.9    |
| 20 | -0.001(7) |    2     |
| 21 | -0.002(7) |   1.8    |
| 22 | -0.003(8) |   1.6    |
| 23 | -0.005(8) |   1.5    |
+----+-----------+----------+
