========================================================================
  Summary Table: para1_n2_tsep7_11
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.540(19) |   1.3    |
| 1  | 0.516(18) |   1.3    |
| 2  | 0.451(16) |   1.2    |
| 3  | 0.366(13) |   1.1    |
| 4  | 0.280(11) |    1     |
| 5  | 0.205(10) |   1.1    |
| 6  |  0.145(9) |   1.2    |
| 7  |  0.099(9) |   1.3    |
| 8  |  0.066(8) |   1.4    |
| 9  |  0.043(8) |   1.6    |
| 10 |  0.028(7) |   1.9    |
| 11 |  0.018(7) |   2.3    |
| 12 |  0.012(7) |   2.5    |
| 13 |  0.008(7) |   2.6    |
| 14 |  0.005(6) |   2.4    |
| 15 |  0.003(6) |    2     |
| 16 |  0.001(6) |   1.8    |
| 17 |  0.001(6) |   1.7    |
| 18 |  0.001(6) |   1.6    |
| 19 |  0.001(5) |   1.5    |
| 20 | -0.000(5) |   1.5    |
| 21 | -0.002(5) |   1.5    |
| 22 | -0.003(6) |   1.6    |
| 23 | -0.004(6) |   1.6    |
+----+-----------+----------+
