========================================================================
  Summary Table: para1_n2_tsep5_7
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.525(82)  |   9.8    |
| 1  | 0.493(79)  |   9.5    |
| 2  | 0.410(70)  |   8.4    |
| 3  | 0.306(60)  |   6.1    |
| 4  | 0.211(50)  |   3.3    |
| 5  | 0.146(44)  |   1.5    |
| 6  | 0.112(42)  |   1.1    |
| 7  | 0.100(43)  |   1.2    |
| 8  | 0.098(45)  |   1.5    |
| 9  | 0.099(45)  |   1.6    |
| 10 | 0.097(43)  |   1.6    |
| 11 | 0.090(40)  |   1.5    |
| 12 | 0.078(39)  |   1.3    |
| 13 | 0.061(38)  |   1.2    |
| 14 | 0.043(39)  |   1.3    |
| 15 | 0.027(40)  |   1.6    |
| 16 | 0.013(40)  |   1.9    |
| 17 | 0.003(39)  |   2.2    |
| 18 | -0.004(37) |   2.5    |
| 19 | -0.004(35) |   2.5    |
| 20 | -0.001(34) |   2.2    |
| 21 | 0.000(34)  |   1.9    |
| 22 | 0.000(35)  |   1.5    |
| 23 | 0.001(37)  |   1.3    |
+----+------------+----------+
