========================================================================
  Summary Table: para1_n2_tsep7_10
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.626(19) |   2.6    |
| 1  | 0.591(18) |   2.4    |
| 2  | 0.501(16) |   1.9    |
| 3  | 0.385(14) |   1.4    |
| 4  | 0.272(12) |   1.2    |
| 5  | 0.180(11) |   1.4    |
| 6  | 0.111(10) |   1.9    |
| 7  |  0.065(9) |   2.2    |
| 8  |  0.035(9) |   2.1    |
| 9  |  0.017(9) |    2     |
| 10 |  0.008(8) |   1.8    |
| 11 |  0.003(8) |   1.6    |
| 12 |  0.002(7) |   1.5    |
| 13 |  0.003(7) |   1.5    |
| 14 |  0.004(6) |   1.4    |
| 15 |  0.006(6) |   1.4    |
| 16 |  0.007(6) |   1.3    |
| 17 |  0.007(6) |   1.4    |
| 18 |  0.007(6) |   1.5    |
| 19 |  0.007(6) |   1.7    |
| 20 |  0.007(6) |    2     |
| 21 |  0.007(6) |   2.1    |
| 22 |  0.007(6) |   2.1    |
| 23 |  0.005(6) |    2     |
+----+-----------+----------+
