========================================================================
  Summary Table: para1_n2_tsep8_11
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.559(27)  |   1.1    |
| 1  | 0.533(25)  |   1.1    |
| 2  | 0.464(22)  |    1     |
| 3  | 0.373(19)  |    1     |
| 4  | 0.282(16)  |    1     |
| 5  | 0.202(15)  |   1.1    |
| 6  | 0.139(14)  |   1.1    |
| 7  | 0.092(13)  |   1.2    |
| 8  | 0.057(12)  |   1.2    |
| 9  | 0.032(12)  |   1.3    |
| 10 | 0.016(11)  |   1.6    |
| 11 | 0.005(11)  |   1.8    |
| 12 | -0.001(10) |    2     |
| 13 | -0.005(10) |   2.1    |
| 14 | -0.006(9)  |   1.9    |
| 15 | -0.007(9)  |   1.7    |
| 16 | -0.007(9)  |   1.5    |
| 17 | -0.006(9)  |   1.5    |
| 18 | -0.005(8)  |   1.6    |
| 19 | -0.003(8)  |   1.6    |
| 20 | -0.003(8)  |   1.6    |
| 21 | -0.003(8)  |   1.7    |
| 22 | -0.003(8)  |   1.8    |
| 23 | -0.004(8)  |   1.8    |
+----+------------+----------+
