========================================================================
  Summary Table: para1_n2_tsep8_10
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.697(40)  |   1.3    |
| 1  | 0.656(38)  |   1.3    |
| 2  | 0.548(35)  |   1.2    |
| 3  | 0.409(30)  |   1.2    |
| 4  | 0.275(27)  |   1.3    |
| 5  | 0.166(25)  |   1.4    |
| 6  | 0.088(23)  |   1.7    |
| 7  | 0.039(22)  |   1.8    |
| 8  | 0.011(20)  |   1.8    |
| 9  | -0.004(20) |   1.7    |
| 10 | -0.011(19) |   1.5    |
| 11 | -0.014(18) |   1.3    |
| 12 | -0.014(17) |   1.2    |
| 13 | -0.012(16) |   1.1    |
| 14 | -0.009(15) |   1.1    |
| 15 | -0.006(14) |   1.1    |
| 16 | -0.004(14) |   1.1    |
| 17 | -0.002(13) |   1.3    |
| 18 | -0.001(13) |   1.5    |
| 19 | -0.001(14) |   1.8    |
| 20 | -0.003(14) |   2.1    |
| 21 | -0.003(14) |   2.3    |
| 22 | -0.003(14) |   2.4    |
| 23 | -0.002(14) |   2.4    |
+----+------------+----------+
