========================================================================
  Summary Table: para1_n2_tsep6_7
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.560(82) |   1.3    |
| 1  | 0.532(79) |   1.4    |
| 2  | 0.453(71) |   1.7    |
| 3  | 0.345(61) |   2.1    |
| 4  | 0.240(52) |   2.1    |
| 5  | 0.159(48) |   1.6    |
| 6  | 0.109(47) |   1.1    |
| 7  | 0.087(48) |   1.1    |
| 8  | 0.084(49) |   1.4    |
| 9  | 0.087(48) |   1.6    |
| 10 | 0.088(45) |   1.7    |
| 11 | 0.084(42) |   1.6    |
| 12 | 0.075(41) |   1.5    |
| 13 | 0.066(42) |   1.3    |
| 14 | 0.060(44) |   1.1    |
| 15 | 0.053(46) |    1     |
| 16 | 0.045(45) |    1     |
| 17 | 0.033(43) |   1.3    |
| 18 | 0.024(40) |   1.4    |
| 19 | 0.019(37) |   1.3    |
| 20 | 0.015(35) |   1.1    |
| 21 | 0.011(35) |    1     |
| 22 | 0.009(36) |   1.1    |
| 23 | 0.008(38) |   1.1    |
+----+-----------+----------+
