========================================================================
  Summary Table: para1_n2_tsep6_10
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.524(12) |   8.5    |
| 1  | 0.500(12) |    8     |
| 2  | 0.437(10) |   6.3    |
| 3  |  0.353(9) |   4.1    |
| 4  |  0.267(7) |   2.4    |
| 5  |  0.192(7) |   1.7    |
| 6  |  0.132(6) |   1.9    |
| 7  |  0.089(5) |   2.4    |
| 8  |  0.058(5) |   2.8    |
| 9  |  0.038(5) |   3.1    |
| 10 |  0.024(5) |   3.2    |
| 11 |  0.015(4) |   3.3    |
| 12 |  0.009(4) |   3.2    |
| 13 |  0.004(4) |   2.9    |
| 14 |  0.001(4) |   2.4    |
| 15 | -0.000(4) |    2     |
| 16 | -0.002(4) |   1.8    |
| 17 | -0.002(4) |   1.5    |
| 18 | -0.002(4) |   1.4    |
| 19 | -0.002(3) |   1.3    |
| 20 | -0.002(3) |   1.4    |
| 21 | -0.002(3) |   1.5    |
| 22 | -0.002(3) |   1.7    |
| 23 | -0.002(4) |   1.9    |
+----+-----------+----------+
